8, 42, 7
27, 0, 68
46, 18, 34
1, 17, 62
20, 30, 58
17, 35, 52
14, 22, 94
49, 36, 99
7, 26, 4
12, 23, 55
40, 35, 68
42, 15, 53
48, 5, 90
48, 31, 66
18, 36, 31
35, 3, 2
3, 27, 66
35, 0, 29
33, 34, 96
28, 0, 12
10, 44, 60
36, 33, 74
1, 46, 50
15, 9, 21
33, 45, 61
47, 37, 65
2, 11, 96
6, 23, 12
6, 39, 78
43, 6, 34
44, 37, 6
29, 16, 9
49, 42, 20
23, 49, 22
37, 46, 66
34, 14, 54
34, 18, 64
22, 7, 34
13, 44, 35
24, 21, 54
42, 14, 95
47, 39, 11
17, 44, 48
8, 18, 4
28, 17, 17
34, 35, 21
20, 18, 1
38, 26, 55
37, 38, 90
32, 39, 66
26, 23, 62
22, 35, 69
1, 27, 46
9, 31, 5
16, 41, 92
17, 1, 16
37, 45, 73
44, 15, 6
28, 38, 40
48, 27, 45
49, 15, 44
7, 31, 47
8, 45, 20
48, 42, 97
29, 40, 87
12, 5, 18
33, 49, 18
5, 42, 42
16, 35, 3
1, 12, 64
37, 1, 70
33, 43, 2
40, 26, 4
4, 46, 14
0, 18, 98
30, 25, 60
3, 38, 94
20, 0, 27
27, 31, 9
5, 4, 74
38, 42, 66
42, 20, 43
42, 49, 73
7, 47, 61
30, 24, 1
17, 9, 21
10, 25, 96
30, 23, 64
32, 30, 26
40, 30, 77
4, 41, 1
33, 22, 35
19, 15, 44
35, 40, 20
44, 41, 84
1, 21, 96
5, 8, 5
13, 11, 70
44, 31, 86
11, 32, 67
9, 22, 57
27, 45, 7
13, 25, 29
20, 12, 32
8, 49, 90
49, 22, 32
8, 27, 51
44, 3, 35
11, 19, 16
26, 13, 75
32, 37, 96
45, 12, 89
0, 8, 62
8, 22, 51
26, 24, 15
47, 38, 10
8, 6, 13
1, 8, 23
36, 7, 85
40, 27, 9
20, 39, 39
28, 22, 92
23, 27, 61
49, 29, 56
35, 44, 93
7, 12, 41
5, 17, 86
19, 37, 9
49, 11, 6
30, 13, 48
43, 47, 53
48, 2, 0
31, 44, 68
24, 49, 90
12, 0, 27
35, 23, 93
32, 16, 62
24, 27, 65
46, 3, 88
12, 44, 58
18, 2, 78
21, 47, 46
20, 38, 26
29, 28, 68
5, 38, 46
21, 14, 96
34, 19, 42
30, 39, 95
0, 39, 18
44, 5, 4
30, 10, 30
46, 14, 78
21, 45, 54
39, 15, 40
40, 16, 55
47, 33, 64
48, 1, 11
14, 37, 44
8, 15, 27
39, 34, 80
40, 36, 0
43, 25, 72
40, 48, 17
9, 24, 91
23, 17, 98
25, 18, 15
49, 3, 59
46, 13, 9
9, 27, 25
8, 16, 64
42, 31, 19
23, 8, 29
13, 1, 8
0, 5, 56
1, 29, 85
16, 36, 28
10, 28, 35
14, 44, 76
4, 49, 7
37, 17, 10
40, 43, 6
24, 42, 57
22, 8, 67
13, 24, 17
2, 31, 79
49, 9, 58
22, 14, 69
26, 31, 63
10, 22, 49
20, 7, 59
38, 15, 57
3, 33, 33
23, 9, 79
42, 48, 70
23, 29, 42
8, 14, 75
10, 24, 33
15, 24, 88
39, 43, 73
1, 48, 96
28, 32, 61
41, 29, 89
11, 15, 9
45, 11, 33
48, 33, 85
13, 9, 45
37, 16, 15
35, 45, 18
28, 9, 60
48, 19, 17
25, 22, 16
9, 28, 35
40, 15, 75
21, 10, 69
16, 7, 31
0, 26, 65
32, 4, 24
8, 1, 17
49, 45, 59
21, 26, 50
49, 43, 85
0, 38, 55
48, 18, 10
29, 5, 45
28, 15, 39
38, 1, 94
46, 4, 10
2, 49, 96
18, 22, 97
2, 19, 10
42, 6, 83
30, 29, 0
29, 25, 34
31, 34, 59
43, 5, 86
5, 30, 71
30, 32, 57
20, 27, 28
42, 4, 75
10, 16, 63
24, 22, 21
12, 15, 63
47, 27, 83
1, 26, 54
19, 35, 91
27, 21, 68
34, 37, 94
0, 30, 77
26, 3, 2
46, 33, 67
16, 44, 47
33, 20, 29
24, 38, 90
7, 9, 15
7, 33, 78
19, 6, 17
22, 40, 65
43, 20, 57
35, 17, 91
27, 32, 18
11, 48, 45
23, 39, 70
2, 34, 17
40, 41, 40
19, 18, 7
43, 11, 9
20, 5, 70
1, 4, 64
9, 5, 24
38, 12, 79
23, 40, 0
20, 41, 9
32, 34, 74
44, 21, 64
48, 43, 54
25, 36, 19
37, 18, 81
9, 34, 38
21, 4, 73
32, 36, 75
28, 31, 88
7, 6, 28
45, 49, 95
20, 29, 93
48, 15, 17
27, 34, 15
6, 45, 60
35, 16, 30
44, 20, 67
38, 16, 6
41, 44, 8
40, 44, 56
34, 6, 65
41, 13, 96
12, 48, 77
34, 23, 98
45, 38, 89
34, 1, 65
12, 29, 77
14, 33, 34
